Designator,Mid X,Mid Y,Rotation,Layer
D1,79.3245,-94.7186,90.0,bottom
D10,290.4487,-93.9249,90.0,bottom
D100,297.592,-190.7563,90.0,bottom
D101,321.403,-190.7563,90.0,bottom
D102,346.0077,-190.0252,90.0,bottom
D103,367.4376,-190.0252,90.0,bottom
D104,386.4864,-189.9626,90.0,bottom
D105,405.5352,-189.9626,90.0,bottom
D106,434.9021,-189.9,90.0,bottom
D107,463.4753,-189.9,90.0,bottom
D108,331.3443,-170.8512,90.0,bottom
D11,309.4975,-93.9249,90.0,bottom
D12,328.5463,-93.8623,90.0,bottom
D13,348.3888,-94.7812,90.0,bottom
D14,367.4376,-94.7186,90.0,bottom
D15,386.4864,-94.7186,90.0,bottom
D16,405.5352,-94.7186,90.0,bottom
D17,424.584,-93.9249,90.0,bottom
D18,444.4265,-94.7186,90.0,bottom
D19,463.4753,-94.7186,90.0,bottom
D2,117.4221,-94.7186,90.0,bottom
D20,482.5241,-93.8623,90.0,bottom
D21,79.3245,-112.9737,90.0,bottom
D22,98.3733,-112.9737,90.0,bottom
D23,117.4221,-112.9737,90.0,bottom
D24,136.4709,-112.9737,90.0,bottom
D25,156.3134,-113.7674,90.0,bottom
D26,175.3622,-113.7674,90.0,bottom
D27,194.411,-113.7674,90.0,bottom
D28,213.4598,-113.7674,90.0,bottom
D29,233.3023,-113.7674,90.0,bottom
D3,136.4709,-94.7812,90.0,bottom
D30,252.3511,-113.7674,90.0,bottom
D31,271.3999,-113.7674,90.0,bottom
D32,290.4487,-112.9737,90.0,bottom
D33,309.4975,-112.9111,90.0,bottom
D34,338.0707,-113.7674,90.0,bottom
D35,367.4376,-113.7048,90.0,bottom
D36,386.4864,-113.0363,90.0,bottom
D37,405.5352,-113.7674,90.0,bottom
D38,424.584,-113.7674,90.0,bottom
D39,444.4265,-113.7674,90.0,bottom
D4,156.3134,-94.7186,90.0,bottom
D40,463.4753,-113.7674,90.0,bottom
D41,482.5241,-113.83,90.0,bottom
D42,84.0867,-132.7536,90.0,bottom
D43,107.8977,-132.8162,90.0,bottom
D44,127.7402,-132.8162,90.0,bottom
D45,146.789,-132.8162,90.0,bottom
D46,165.8378,-132.7536,90.0,bottom
D47,184.8866,-132.7536,90.0,bottom
